"ASV","Domain","Phylum","Class","Order","Family","Genus","Species","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sign(log2FoldChange)"
"e149584fe9c8493dcfe1c57a0a815c77","d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","Lachnospiraceae_UCG-001","s__Lachnospiraceae_bacterium",21.4386758453536,-5.28725527689551,0.888552758780287,-5.95041231333669,2.67467837111535e-09,6.46067985312221e-07,-1
"302453da7fdf3d0fc7c898a56d1902cc","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Barnesiellaceae","Barnesiella",NA,21.6790016514764,-5.05524712504814,0.929340040656105,-5.43960972722017,5.33974137159271e-08,7.13389447244787e-06,-1
"54b5967403c94b72b5ba0327a0cf1e72","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","Bacteroides","s__Bacteroides_coprocola",11.2945002176363,-4.57086098822769,0.889892111127294,-5.13642151792697,2.80019210436245e-07,2.99284532114259e-05,-1
"b2282677ff1ba19e9700383f454417bd","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","Prevotella",NA,72.9429429639073,-4.55257762587873,1.03535334036397,-4.39712458384333,1.09694388137125e-05,0.00053291528200436,-1
"739a740fbd81e195d878ccb2562aa846","d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","Coprococcus",NA,16.882092323043,-4.5006466733986,0.902495716192476,-4.98688979088598,6.13590428047707e-07,5.12348007419835e-05,-1
"b8987c5d3c76dafe8b6470c5cccaba7c","d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","Butyrivibrio","s__Butyrivibrio_crossotus",9.24429794216658,-4.30813021469009,0.857479218839877,-5.02418031835075,5.05587184669198e-07,4.50309652478699e-05,-1
"f247c06edb93b0f02277e395b87328aa","d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","Coprococcus.1",NA,17.3072324630899,-3.98923430472983,0.916817032324066,-4.35117822213381,1.35407929997854e-05,0.000623810325783218,-1
"1aef5aa477c19eb195b23ea7b93f281b","d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","Faecalibacterium",NA,38.8656322969733,-3.93252400546211,0.919802222496508,-4.27540172145762,1.90792952214453e-05,0.000822256077930675,-1
"f11436d520e205b2a1dd32b227532691","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Barnesiellaceae","Barnesiella.1",NA,15.4130321236413,-3.88695591892116,0.926199110063803,-4.19667421042264,2.70863128167488e-05,0.00113085356009926,-1
"1656243ea96802940efa7db08f7a4410","d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","Subdoligranulum",NA,1.24028864451055,2.18400108835036,0.330234475092086,6.61348603213325,3.75373433464903e-11,1.89516196501838e-08,1
"b058d2b1d2bb7204614256b2057b7731","d__Bacteria","p__Firmicutes","c__Clostridia","o__Christensenellales","f__Christensenellaceae","Christensenellaceae_R-7_group",NA,2.35869435226021,2.30353334846612,0.460417023939578,5.00314547180693,5.64023454264684e-07,4.86151828966205e-05,1
"19af8760014dd2160d4cbe087d2ed976","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","Alistipes","s__Alistipes_indistinctus",3.72077575602615,2.46526004004478,0.510008115114232,4.83376630093936,1.33973854204213e-06,8.73117410813795e-05,1
"6848e81dee5bb5428a935b4507e304eb","d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","NK4A214_group","s__uncultured_organism",2.9570404319012,2.50821995626958,0.538903813659616,4.6542998818966,3.25083388909118e-06,0.000193027292258925,1
"fdbdbe81dd5e0e2b71693fe87db9691d","d__Bacteria","p__Firmicutes","c__Bacilli","o__Erysipelotrichales","f__Erysipelotrichaceae","Holdemanella","s__uncultured_bacterium",4.69399707180249,2.78393855816842,0.635739140576619,4.37905798224626,1.19193418640231e-05,0.000568722883226247,1
"c43bbd203d077ba15c26090580d64d32","d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","UBA1819",NA,12.9176368210406,2.85417965853902,0.60168156772421,4.7436714229665,2.09879178131272e-06,0.0001335231342778,1
"0ce01eee5be76fbe1c72e3e84a0e026e","d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","Anaerostipes","s__uncultured_bacterium",1.25042019929824,2.88021359280184,0.297773651689919,9.67249310493428,3.94644872124475e-22,5.27245549158299e-19,1
"ca880afc5aca223a23c20ad56c22ba1a","d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","Anaerostipes.1","s__uncultured_bacterium",1.43627087492978,2.96656126998743,0.363462263805266,8.161951226873,3.29655319963404e-16,2.20209753735554e-13,1
"76e1aee1145042620c020a2d5ab4b976","d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","Faecalibacterium.1",NA,1.27422255496421,3.00024750152584,0.302371624394783,9.92238444176447,3.32711251496968e-23,8.89004463999898e-20,1
"74b61826bd20cd69475a2f1c9335a920","d__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Bifidobacteriales","f__Bifidobacteriaceae","Bifidobacterium","s__Bifidobacterium_bifidum",4.20128087589671,3.00366409302085,0.573340803848217,5.23888073700756,1.61553393987838e-07,1.87682899450219e-05,1
