"ASV","Domain","Phylum","Class","Order","Family","Genus","Species","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sign(log2FoldChange)"
"4c8288bfbd76958c0c094d87b97650f8","d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Enterobacteriaceae","Escherichia-Shigella",NA,79.5729549846953,-4.01269988755837,0.661485675332664,-6.06619317272497,1.30977584808341e-09,4.76976704677041e-07,-1
"18cf5329396920bfc8027030456d5fb5","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Barnesiellaceae","Barnesiella",NA,16.5942127316867,-3.96170012322496,0.69621672583152,-5.69032598074018,1.26797074607931e-08,3.07835120020365e-06,-1
"f79c39dd1f3a72f10efc90cc5a84ddc2","d__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodospirillales","f__uncultured","uncultured","s__gut_metagenome",6.50808586314932,-3.3968160438826,0.593843097639798,-5.72005645495096,1.06488664727174e-08,2.90847165536093e-06,-1
"d98a07aa2bb491ff3f01d30c9e070d45","d__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridia_UCG-014","f__Clostridia_UCG-014","Clostridia_UCG-014",NA,8.46817539301354,-3.31900533746425,0.613755987360995,-5.40769524992364,6.38409304608354e-08,1.0730187158225e-05,-1
"f3270b7f9b020567e59ec30f7d15fc14","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","Paraprevotella",NA,8.89427458325464,-3.26047207339395,0.623244893957651,-5.23144610570287,1.68189072909824e-07,2.4499541620531e-05,-1
"d09403349a5dd3a0f4c6bea754072bc5","d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","Lachnospiraceae_UCG-001","s__Lachnospiraceae_bacterium",7.30389902475083,-3.13081139370572,0.568798750096212,-5.50425153567258,3.70739911108148e-08,6.75055588142752e-06,-1
"60d2ab0107799b3a17437167410f84b1","d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","Roseburia",NA,12.5482311169128,-2.74414343830782,0.586825405179103,-4.67625193812168,2.92165634646723e-06,0.000220131693690721,-1
"c928138aaedb823f8cc6c187b1a65db7","d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","UCG-002",NA,11.3995899604179,-2.70121885238191,0.637864943565106,-4.23478179767093,2.28773737840999e-05,0.00102014411669915,-1
"57c18ce14b86bd1489636232fd65b069","d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Sutterellaceae","Sutterella",NA,3.68660660535768,-2.64210829513645,0.532421560178729,-4.96243670945543,6.96142542598704e-07,6.91396116171894e-05,-1
"cc5922fea88980708bcc80d6af5f149c","d__Bacteria","p__Firmicutes","c__Negativicutes","o__Acidaminococcales","f__Acidaminococcaceae","Phascolarctobacterium","s__uncultured_Firmicutes",4.22734077982187,-2.61948333191107,0.564280203298187,-4.64216769718365,3.44772851865188e-06,0.000243009252040463,-1
"54b5967403c94b72b5ba0327a0cf1e72","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","Bacteroides","s__Bacteroides_coprocola",11.2945002176363,-2.57111120162296,0.595366813493872,-4.31853295035804,1.5706977477719e-05,0.000730207357208852,-1
"b058d2b1d2bb7204614256b2057b7731","d__Bacteria","p__Firmicutes","c__Clostridia","o__Christensenellales","f__Christensenellaceae","Christensenellaceae_R-7_group",NA,2.35869435226021,2.04538139050008,0.355737906961398,5.74968635749586,8.94091542198903e-09,2.79084288529229e-06,1
"91777792b0c4ff2af1e9a8ff54c7557e","d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","[Ruminococcus]_torques_group",NA,13.73194461388,2.06225548464305,0.505723400636723,4.07783282728582,4.54574311284567e-05,0.00177365155385139,1
"ab97034c52a21d9a5278e5cd95367aa5","d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Sutterellaceae","Sutterella.1","s__gut_metagenome",7.82363118130741,2.08025902900049,0.543645574357036,3.82649859968196,0.000129978888580412,0.00400005452884788,1
"d994efbced45e57668a70bcdcbda8152","d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","Colidextribacter","s__uncultured_Clostridia",1.69648122522545,2.09559201488135,0.318102024240393,6.58779842688989,4.46396116490428e-11,4.87687757265793e-08,1
"378abaddaee3a4538b1fd63920da5092","d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","Hungatella",NA,2.26786974758275,2.16936122179458,0.38699484012213,5.60565929279564,2.07463715612214e-08,4.12098380556988e-06,1
"619df55c08582666d1df3dcd73eeae02","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","Alistipes",NA,7.30878428289158,2.24065161466861,0.552738530433096,4.05372792251873,5.04078401049652e-05,0.00186679882422626,1
"cdf4eb674442de7eb69c24367a971513","d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","UCG-002.1",NA,18.4465110904025,2.34832601492269,0.611172278767611,3.84233070854904,0.000121871472191075,0.00380413095339285,1
"e8d0f444dc3a43708bc843fd8472b381","d__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Bifidobacteriales","f__Bifidobacteriaceae","Bifidobacterium",NA,83.7282324015406,2.42058273577612,0.669559418681862,3.61518734295672,0.000300130500906293,0.00695915374851258,1
"7288e675d8c0fdc7687d5c37a9e6ee3e","d__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Verrucomicrobiales","f__Akkermansiaceae","Akkermansia",NA,37.6563311175258,3.08788168882426,0.690080514470543,4.47466871484323,7.65298772404929e-06,0.000464493838251325,1
"bf44b6e3044d43a45b83f6c505b42548","d__Bacteria","p__Firmicutes","c__Bacilli","o__Izemoplasmatales","f__Izemoplasmatales","Izemoplasmatales","s__gut_metagenome",4.00766913695752,3.57075380673971,0.421882822809621,8.46385207854516,2.58687892790425e-17,5.65233045747078e-14,1
