"ASV","Domain","Phylum","Class","Order","Family","Genus","Species","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sign(log2FoldChange)"
"a55f549b9a40506a070a2fb7e8ca0726","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","Prevotella",NA,426.478517332276,-9.36813087835253,1.59701819837398,-5.86601385500226,4.46396511726486e-09,3.3658296984177e-06,-1
"4bc36dab60f949fc7cebe06fef2f576c","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","Prevotella.1",NA,55.6857453356003,-5.94907018471511,1.40709672066831,-4.22790423524658,2.35878141063744e-05,0.00355704236724126,-1
"b2282677ff1ba19e9700383f454417bd","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","Prevotella.2",NA,72.9429429639073,-5.89949828881476,1.4474881468575,-4.07567986074536,4.58801036739908e-05,0.00576559969503151,-1
"d33d037914391243a664e78b0865819d","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Tannerellaceae","Parabacteroides",NA,34.1918771129988,-5.05111117612019,1.25229186197323,-4.03349357246574,5.4953684535627e-05,0.00591929687712324,-1
"970c4c927d69ee41accb2c1a29f9a023","d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","[Eubacterium]_ruminantium_group","s__uncultured_bacterium",22.7124162045835,-4.81318354667972,1.23904044966377,-3.88460566237838,0.000102496110496803,0.00790519427200148,-1
"506aa1d680b6d3ca57043bc799d377f6","d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","Lachnospiraceae_UCG-004",NA,12.6833495949808,-4.12723118318867,1.06396602993699,-3.87910052300553,0.00010484342535811,0.00790519427200148,-1
"d4777d06d938847950232bccbb9673cb","d__Bacteria","p__Firmicutes","c__Bacilli","o__Izemoplasmatales","f__Izemoplasmatales","Izemoplasmatales","s__gut_metagenome",1.32475955847767,2.08820869472465,0.465446920272854,4.48645936576507,7.24165206936179e-06,0.00182006855343293,1
"64d94620fe0f5db1cd211f24f6a6d659","d__Bacteria","p__Firmicutes","c__Clostridia","o__Peptococcales","f__Peptococcaceae","Peptococcus","s__uncultured_organism",1.90276896469321,2.36448786890192,0.541885324743204,4.3634469525862,1.28028996510366e-05,0.0024133465842204,1
