"ASV","Domain","Phylum","Class","Order","Family","Genus","Species","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sign(log2FoldChange)"
"c928138aaedb823f8cc6c187b1a65db7","d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","UCG-002",NA,11.3995899604179,-4.34448156186965,0.628496293178672,-6.91250148811072,4.76181004185963e-12,5.52846145859903e-09,-1
"18cf5329396920bfc8027030456d5fb5","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Barnesiellaceae","Barnesiella",NA,16.5942127316867,-3.83324716708856,0.687419240688482,-5.57628727885095,2.45706040766797e-08,6.33921585178336e-06,-1
"be93d76a7889227e9b5ed21b3d224ab6","d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","Faecalibacterium","s__metagenome",7.62039999444507,-3.77644420895667,0.60399001862602,-6.25249439973771,4.03948234163969e-10,2.07814785987396e-07,-1
"7d31db74a3be0442080704e5dc0dcf6d","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","Bacteroides",NA,6.90133793117225,-3.69857983217876,0.607394937462684,-6.08925034447787,1.13440613342964e-09,4.39015173637269e-07,-1
"f3270b7f9b020567e59ec30f7d15fc14","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","Paraprevotella",NA,8.89427458325464,-3.56351659454671,0.615384108932938,-5.79071923180755,7.00856511110744e-09,2.32484116971307e-06,-1
"d98a07aa2bb491ff3f01d30c9e070d45","d__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridia_UCG-014","f__Clostridia_UCG-014","Clostridia_UCG-014",NA,8.46817539301354,-3.47289201703309,0.606214451036374,-5.72881760092636,1.01133063490844e-08,2.93538716782176e-06,-1
"95a64f4c42ae5b3fd793c201a955d11a","d__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridia_UCG-014","f__Clostridia_UCG-014","Clostridia_UCG-014.1",NA,5.5347613998996,-3.17486591231226,0.57301399136541,-5.54064291649671,3.01363173650366e-08,6.99765289216149e-06,-1
"4c8288bfbd76958c0c094d87b97650f8","d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Enterobacteriaceae","Escherichia-Shigella",NA,79.5729549846953,-2.94871504855953,0.651542726046342,-4.52574317950377,6.01836314261486e-06,0.000388184422698659,-1
"4a1f301649918dd9d49bc2f8e45d16d1","d__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridia_UCG-014","f__Clostridia_UCG-014","Clostridia_UCG-014.2",NA,21.9255229930161,-2.91626296937809,0.618417475864644,-4.71568654378775,2.40897064188077e-06,0.000199772493944541,-1
"7fae6e66de98cb8ae2f19e8ecd16f424","d__Bacteria","p__Firmicutes","c__Clostridia","o__Christensenellales","f__Christensenellaceae","Christensenellaceae_R-7_group","s__gut_metagenome",6.45024319862127,-2.81767220633159,0.545144707848024,-5.16866836597284,2.35767833992098e-07,3.64968607019768e-05,-1
"3f9fcc47fb363e0fdfa75dc56bb107f5","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Tannerellaceae","Parabacteroides","s__Parabacteroides_johnsonii",4.62299557551577,-2.68879135445103,0.562059201859523,-4.78382231899311,1.71992734868358e-06,0.000159746852145731,-1
"cbb1fc991e821c7d769759575378d1f2","d__Bacteria","p__Firmicutes","c__Negativicutes","o__Veillonellales-Selenomonadales","f__Veillonellaceae","Dialister",NA,8.11057896511112,2.07680638104232,0.541945328464139,3.83213263767389,0.000127037212963197,0.00398622173649382,1
"bf44b6e3044d43a45b83f6c505b42548","d__Bacteria","p__Firmicutes","c__Bacilli","o__Izemoplasmatales","f__Izemoplasmatales","Izemoplasmatales","s__gut_metagenome",4.00766913695752,2.56686992723961,0.407710958920306,6.29580802546285,3.05802650348673e-10,2.07814785987396e-07,1
