"ASV","Domain","Phylum","Class","Order","Family","Genus","Species","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"80dbd6cdd5798902a9038eb121f7f640","d__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridia_UCG-014","f__Clostridia_UCG-014","g__Clostridia_UCG-014.3",NA,7.9988747481641,-2.08351694488946,0.543975568401309,-3.83016640069464,0.000128056633498996,0.00304953471402261
"d706aa9c71ed86027afc129974644d78","d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Ruminococcus.1",NA,3.45049586484977,-2.08145847974726,0.518439550699929,-4.01485279612087,5.94829077292308e-05,0.00160290782933506
"8d4e8ff9e3d3c07d52492db663caa5d5","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Muribaculaceae","g__Muribaculaceae","s__uncultured_bacterium",2.08847312865305,-2.03085224079057,0.46336459003719,-4.38283866410157,1.17142864380013e-05,0.000470408992647582
"5c8c513014105784574366a4c48c47dd","d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Coprococcus","s__Coprococcus_eutactus",6.49448165927894,-2.01917502285279,0.548718546512511,-3.67980093927215,0.000233416087171241,0.00482864794471416
"281041dc55d7f999ab812c2025391ab6","d__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Bifidobacteriales","f__Bifidobacteriaceae","g__Bifidobacterium",NA,34.8552920577183,2.0587204477629,0.561829211639811,3.66431720727747,0.000247999279204325,0.00507902523810458
"bfad688225dd0a249ec81efe51a2e7a7","d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__UCG-002",NA,22.506652930374,2.17531537819775,0.600140956476604,3.6246740948475,0.000289326069155546,0.0054608584047345
"8b7dc924bf2eeeeefac1a6043c80942d","d__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__Clostridium_sensu_stricto_1",NA,1.85545260792351,2.25507322023723,0.363777713550939,6.19904171210715,5.68079762950853e-10,7.27142096577092e-08
"8ab13b1d31474061b8350aacb62a8fab","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides.3","s__Bacteroides_coprophilus",1.77768619808716,2.31322634278864,0.357264415654407,6.47482996186864,9.49187708601415e-11,1.9439364272157e-08
"c6e1bb7330f68cbb105e5888009df151","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Barnesiellaceae","g__Barnesiella.2",NA,1.39257439546393,2.37658345865012,0.288519089980795,8.23717924109743,1.76318234230069e-16,1.80549871851591e-13
"e34f880ef5eae43cc70af195de1a9c46","d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Sutterellaceae","g__Sutterella.3","s__unidentified",1.60176257725172,2.5289824095063,0.325207970691905,7.77650807305153,7.45538283535858e-15,5.08954134893812e-12
"66ba2620bfaf759920989b9aa5d4dde4","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Marinifilaceae","g__Butyricimonas",NA,3.41982199337349,2.63160017097139,0.425455605964661,6.18536959926665,6.19571331458021e-10,7.46401227544722e-08
"74b61826bd20cd69475a2f1c9335a920","d__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Bifidobacteriales","f__Bifidobacteriaceae","g__Bifidobacterium.1","s__Bifidobacterium_bifidum",4.20128087589671,2.77309915751904,0.431462845516028,6.42720268115419,1.29973474891558e-10,2.21821397148258e-08
"ab97034c52a21d9a5278e5cd95367aa5","d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Sutterellaceae","g__Sutterella.4","s__gut_metagenome",7.82363118130741,2.83333030560913,0.541112858529527,5.23611712593321,1.63989907850493e-07,1.46022317946874e-05
"7288e675d8c0fdc7687d5c37a9e6ee3e","d__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Verrucomicrobiales","f__Akkermansiaceae","g__Akkermansia",NA,37.6563311175258,2.89012483056174,0.690206716079994,4.18733223428498,2.82252510908242e-05,0.000889312526677046
"6426dd907b80a97acc1378f1fbac5dfb","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides.4","s__Bacteroides_plebeius",4.34018480930094,3.07345730167066,0.467705447618993,6.57135236999503,4.98603068393636e-11,1.13459898230018e-08
"e8d0f444dc3a43708bc843fd8472b381","d__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Bifidobacteriales","f__Bifidobacteriaceae","g__Bifidobacterium.2",NA,83.7282324015406,3.23214468523937,0.669366199938535,4.82866431788185,1.37451887394103e-06,8.04289901094638e-05
"3249d7b4a2797d6b8b3f892b43b63857","d__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Bifidobacteriales","f__Bifidobacteriaceae","g__Bifidobacterium.3",NA,19.1974389697338,3.72323717063481,0.591621113773573,6.29327974264925,3.10827440836437e-10,4.89672768333094e-08
